,address,checkins,city,country,created,icon,id,latitude,longitude,title,type,updated
0,Мячковский б-р 3а,445,1.0,1,1280741941,https://vk.com/images/places/clubs.png,1,55.657941,37.751574,Baila Baila,4,1529821233.0
9,Гурьянова 31,14,1.0,1,1280741941,https://vk.com/images/places/clubs.png,10,55.684858,37.7183,Salvador Dali,4,1526774672.0
14,2-я Брестская 6,5,1.0,1,1280741941,https://vk.com/images/places/clubs.png,15,55.770968,37.591562,Моспроект,4,1513573035.0
19,Лубянский пр. 25К1,0,1.0,1,1280741941,https://vk.com/images/places/clubs.png,20,55.757116,37.63146,Дом Кукера,4,1344699423.0
21,Новослободская 26,2,1.0,1,1280741941,https://vk.com/images/places/clubs.png,22,55.783104,37.598025,Хроника-бар,4,1398172658.0
23,ская 208,0,72.0,1,1280741941,https://vk.com/images/places/clubs.png,24,55.676783,37.762449,СУ-27,4,1449301456.0
27,1-я Останкинская 23,7,1.0,1,1280741941,https://vk.com/images/places/clubs.png,28,55.82439,37.622387,Club 23,4,1514773465.0
31,Щелковское ш. 5,3,1.0,1,1280741941,https://vk.com/images/places/clubs.png,32,55.80402,37.755266,Каста,4,1476629730.0
32,Зеленодольская 43,9,1.0,1,1280741941,https://vk.com/images/places/clubs.png,33,55.702617,37.766585,Campanello,4,1418312932.0
34,Покровка 18К18,47,1.0,1,1280741941,https://vk.com/images/places/clubs.png,35,55.758808,37.646435,Карибы,4,1503338119.0
38,Кастанаевская 38,4,1.0,1,1280741941,https://vk.com/images/places/clubs.png,39,55.73587,37.479627,Стрела,4,1503869683.0
40,новочеркасский 29К1,182,1.0,1,1280741941,https://vk.com/images/places/clubs.png,41,55.653665,37.76672,Жажда,4,1523045419.0
43,просп. Мира 119,4,1.0,1,1280741941,https://vk.com/images/places/clubs.png,44,55.828703,37.633688,M-Club,4,1343241861.0
44,просп. Мира 150,13,1.0,1,1280741941,https://vk.com/images/places/clubs.png,45,55.822463,37.646768,Happyland,4,1477952343.0
45,Маяковского 65К1,64,1.0,1,1280741941,https://vk.com/images/places/clubs.png,46,55.730466,37.623726,FAQ-Caf?,4,1497797772.0
46,Волков пер. 13К1,1,1.0,1,1280741941,https://vk.com/images/places/clubs.png,47,55.76365,37.574013,Все свои,4,1398891495.0
47,3-я ул. Ямского поля 15,5,1.0,1,1280741941,https://vk.com/images/places/clubs.png,48,55.782486,37.579381,Мажор Холл,4,1481352467.0
55,Летниковская 6а,2,1.0,1,1280741941,https://vk.com/images/places/clubs.png,56,55.726056,37.644585,Восточный дом,4,1510573016.0
56,Холодильный пер. 3,54,1.0,1,1280741941,https://vk.com/images/places/clubs.png,57,55.708917,37.625451,Tuning Hall,4,1527936253.0
58,Б.Никитская 19К13,0,1.0,1,1280741941,https://vk.com/images/places/clubs.png,59,55.756974,37.600963,Blues Time,4,
59,Паустовского 8К1,9,1.0,1,1280741941,https://vk.com/images/places/clubs.png,60,55.599072,37.538373,Икенга,4,1444593384.0
62,Новопесчаная 12,14,1.0,1,1280741941,https://vk.com/images/places/clubs.png,63,55.798849,37.513233,Питер,4,1526317000.0
63,Берсеневская наб. 6К3,13,1.0,1,1280741941,https://vk.com/images/places/clubs.png,64,55.740603,37.609254,Палитра,4,1387435202.0
64,Театральный пр. 3К3,80,1.0,1,1280741941,https://vk.com/images/places/clubs.png,65,55.759993,37.622603,Мастерская,4,1474554797.0
65,Новослободская 46,2,1.0,1,1280741941,https://vk.com/images/places/clubs.png,66,55.785792,37.595609,Рэй,4,1350145859.0
66,Донская 15,4,1.0,1,1280741941,https://vk.com/images/places/clubs.png,67,55.723693,37.608113,Newton Bar,4,1408196873.0
67,Вавилова 65,10,1.0,1,1280741941,https://vk.com/images/places/clubs.png,68,55.684655,37.554394,X.O.,4,1505327248.0
77,Большая Монетная 7,6,1.0,1,1280741941,https://vk.com/images/places/clubs.png,78,55.725706,37.673457,Tabula Rasa,4,1440187616.0
78,Профсоюзная 27К1,2,1.0,1,1280741941,https://vk.com/images/places/clubs.png,79,55.673869,37.559505,Джазман,4,1469052377.0
84,М.Бронная 10,1,1.0,1,1280741941,https://vk.com/images/places/clubs.png,85,55.760722,37.596669,Rush,4,1391184609.0
85,Ниж.Сусальный пер. 5К15а,10,1.0,1,1280741941,https://vk.com/images/places/clubs.png,86,55.76129,37.663068,Воздух,4,1351503991.0
86,Таганская 2,2,1.0,1,1280741941,https://vk.com/images/places/clubs.png,87,55.73549,37.616953,Mixtura,4,1354090093.0
88,Крымский вал 3К2,4,1.0,1,1280741941,https://vk.com/images/places/clubs.png,89,55.72927,37.609124,Pridebar,4,1447351752.0
89,Б.Златоустинский пер. 7,78,1.0,1,1280741941,https://vk.com/images/places/clubs.png,90,55.758686,37.632768,Bourbon Street,4,1529869142.0
91,1-й Смоленский пер. 3,4,1.0,1,1280741941,https://vk.com/images/places/clubs.png,92,55.746608,37.57969,Mafia,4,1353429568.0
92,Новозаводская 27,10,1.0,1,1280741941,https://vk.com/images/places/clubs.png,93,55.749729,37.498788,Главклуб,4,1496731489.0
93,Земляной Вал 75,27,1.0,1,1280741941,https://vk.com/images/places/clubs.png,94,55.745985,37.655975,Double Bourbon,4,1518685745.0
95,Таганская пл. 20К13,0,1.0,1,1280741941,https://vk.com/images/places/clubs.png,96,55.7664,37.667137,Studio 54,4,
97,Паустовского 8К1,8,1.0,1,1280741941,https://vk.com/images/places/clubs.png,98,55.599072,37.538273,Шпилька,4,1423505049.0
98,Дубининская 69,2,1.0,1,1280741941,https://vk.com/images/places/clubs.png,99,55.714921,37.634502,Serebro,4,1460235700.0
100,Хорошевское ш. 39,9,1.0,1,1280741941,https://vk.com/images/places/clubs.png,101,55.777282,37.513682,Закрома Родины,4,1486991368.0
101,Волгоградский пр. 6К1,2,1.0,1,1280741941,https://vk.com/images/places/clubs.png,102,55.819257,37.564918,Shambor,4,1429364458.0
104,Тимирязевская 11,0,1.0,1,1280741941,https://vk.com/images/places/clubs.png,105,55.598843,37.516171,Dark Woods,4,1280943098.0
105,Бутырский Вал 5,16,1.0,1,1280741941,https://vk.com/images/places/clubs.png,106,55.779474,37.58526,Жара,4,1367524324.0
110,М.Дмитровка 23К15,0,1.0,1,1280741941,https://vk.com/images/places/clubs.png,111,55.770578,37.604915,Синяя птица,4,1439145999.0
112,Кадашевская наб. 6К1,28,1.0,1,1280741941,https://vk.com/images/places/clubs.png,113,55.742833,37.617186,Третьяков,4,1399641889.0
115,М.Сухаревская пл. К38,5,1.0,1,1280741941,https://vk.com/images/places/clubs.png,116,55.785017,37.53287,Арсенал,4,1431089197.0
116,Мясницкая 13,0,1.0,1,1280741941,https://vk.com/images/places/clubs.png,117,55.762449,37.632395,Вос-дух,4,1354178187.0
124,Сергея Макеева 9,189,1.0,1,1280741941,https://vk.com/images/places/clubs.png,125,55.761629,37.550837,Milk,4,1506964060.0
125,Рогожский Вал 6К2,3,1.0,1,1280741941,https://vk.com/images/places/clubs.png,126,55.742767,37.674526,Platina,4,1369337619.0
129,Лубянский пр. 15К2,2,1.0,1,1280741941,https://vk.com/images/places/clubs.png,130,55.756619,37.632489,Ля Мур,4,1485939118.0
133,Страстной б-р 8а,8,1.0,1,1280741941,https://vk.com/images/places/clubs.png,134,55.766258,37.610867,Babуlon Private Club,4,1389480417.0
134,Летниковская 11К10,128,1.0,1,1280741941,https://vk.com/images/places/clubs.png,135,55.724545,37.646372,Форум холл,4,1524143000.0
135,Малышева 3К2,16,1.0,1,1280741941,https://vk.com/images/places/clubs.png,136,55.701957,37.742735,От заката до рассвета,4,1515875238.0
136,Комсомольский просп. 28,1,1.0,1,1280741941,https://vk.com/images/places/clubs.png,137,55.727019,37.579681,Maska,4,1353173698.0
141,пл. Киевского Вокзала 2,61,1.0,1,1280741941,https://vk.com/images/places/clubs.png,142,55.74449,37.566302,Face,4,1479829094.0
143,Кузнецкий мост 3,2,1.0,1,1280741941,https://vk.com/images/places/clubs.png,144,55.761224,37.616575,Shelter,4,1458486877.0
144,Школьная 21,4,1.0,1,1280741941,https://vk.com/images/places/clubs.png,145,55.745808,37.672109,Old Street,4,1493467056.0
145,Усиевича 12К14,0,1.0,1,1280741941,https://vk.com/images/places/clubs.png,146,55.806267,37.528285,Manhattan,4,1421991528.0
154,Декабристов пл. 10,11,1.0,1,1280741941,https://vk.com/images/places/clubs.png,155,55.764085,37.487335,Бульвар,4,1488609928.0
158,Ленинградский просп. 31,756,1.0,1,1280741941,https://vk.com/images/places/clubs.png,159,55.785994,37.559056,Arena Moscow,4,1519912556.0
159,выборгская 14,3,1.0,1,1280741941,https://vk.com/images/places/clubs.png,160,55.752242,37.633167,Лед,4,1354388918.0
161,Забелина 1,3,1.0,1,1280741941,https://vk.com/images/places/clubs.png,162,55.754466,37.637367,Подвал на Солянке,4,1456810987.0
162,Петрозаводская 22,0,1.0,1,1280741941,https://vk.com/images/places/clubs.png,163,55.77716,37.565003,Times,4,1351286838.0
176,Страстной б-р 4К3,1,1.0,1,1280741941,https://vk.com/images/places/clubs.png,177,55.764987,37.608472,Пурга,4,1282085350.0
183,Болотная наб. 9а,8,1.0,1,1280741941,https://vk.com/images/places/clubs.png,184,55.740841,37.611212,Элизиум,4,1385848680.0
189,Енисейская 5К2,3,1.0,1,1280741941,https://vk.com/images/places/clubs.png,190,55.858902,37.659578,Sharhouse,4,1420375617.0
193,Моховая 11,188,1.0,1,1280741941,https://vk.com/images/places/clubs.png,194,55.756184,37.61132,Дума,4,1527701257.0
195,Сельскохозяйственная 15К3,0,1.0,1,1280741941,https://vk.com/images/places/clubs.png,196,55.836686,37.638144,Сирена,4,1381481809.0
196,Лесная 43,8,1.0,1,1280741941,https://vk.com/images/places/clubs.png,197,55.780709,37.590506,Поляна,4,1369935530.0
198,Новослободская 36К1,13,1.0,1,1280741941,https://vk.com/images/places/clubs.png,199,55.784703,37.59648,New York Bar & Lounge,4,1391200362.0
200,Покровка 17,225,1.0,1,1280741941,https://vk.com/images/places/clubs.png,201,55.759653,37.645258,Cuba Libre,4,1526663950.0
206,Ниж.Сусальный пер. 5,1,1.0,1,1280741941,https://vk.com/images/places/clubs.png,207,55.761338,37.663033,Aura,4,1395698910.0
215,Льва Толстого 18б,8,1.0,1,1280741941,https://vk.com/images/places/clubs.png,216,55.735241,37.585368,Vodka Bar,4,1413094972.0
219,Грина 11б,7,1.0,1,1280741941,https://vk.com/images/places/clubs.png,220,55.566909,37.566656,Индиго,4,1420140995.0
220,Дербеневская 20,21,1.0,1,1280741941,https://vk.com/images/places/clubs.png,221,55.721594,37.647738,One Rock,4,1437300652.0
221,Кронштадтский б-р 9К3,7,1.0,1,1280741941,https://vk.com/images/places/clubs.png,222,55.84262,37.489401,Майер,4,1431688834.0
223,Олимпийский просп. 16К1,3,1.0,1,1280741941,https://vk.com/images/places/clubs.png,224,55.78116,37.626471,Удар,4,1370455079.0
224,Чистопрудный б-р 25,2,1.0,1,1280741941,https://vk.com/images/places/clubs.png,225,55.760104,37.646875,Рублев,4,1468615210.0
226,Юных Ленинцев 52,8,1.0,1,1280741941,https://vk.com/images/places/clubs.png,227,55.699786,37.76548,Visota,4,1525368322.0
232,Смоленский б-р 7К1,1,1.0,1,1280741941,https://vk.com/images/places/clubs.png,233,55.73999,37.58438,JazzLife,4,1346087218.0
234,Бакунинская К2,8,1.0,1,1280741941,https://vk.com/images/places/clubs.png,235,55.773191,37.679394,G-Lounge,4,1384041935.0
279,просп. Академика Сахарова 14,60,1.0,1,1280741941,https://vk.com/images/places/clubs.png,280,55.769135,37.643076,Каприз,4,1509214315.0
282,Вавилова 69,7,1.0,1,1280741941,https://vk.com/images/places/clubs.png,283,55.68296,37.55151,Бакара,4,1395902600.0
